case,activity,timestamp,enabled_activities
1,a,2019-01-01 13:00:00+00:00,"c, d, b, a"
1,b,2019-01-01 13:01:00+00:00,"d, b, c"
1,c,2019-01-01 13:02:00+00:00,"d, c"
1,d,2019-01-01 13:03:00+00:00,d
2,a,2019-01-01 13:04:00+00:00,"c, d, b, a"
2,b,2019-01-01 13:05:00+00:00,"d, b, c"
2,d,2019-01-01 13:06:00+00:00,"d, c"
2,c,2019-01-01 13:07:00+00:00,c
3,a,2019-01-01 13:08:00+00:00,"c, d, b, a"
3,c,2019-01-01 13:09:00+00:00,"d, b, c"
3,b,2019-01-01 13:10:00+00:00,"d, b"
3,d,2019-01-01 13:11:00+00:00,d
4,a,2019-01-01 13:12:00+00:00,"c, d, b, a"
4,c,2019-01-01 13:13:00+00:00,"d, b, c"
4,d,2019-01-01 13:14:00+00:00,"d, b"
4,b,2019-01-01 13:15:00+00:00,b
