case,activity,timestamp,enabled_activities
1,a,2019-01-01 13:00:00+00:00,"c, d, b, a"
1,b,2019-01-01 13:01:00+00:00,"d, b, c"
1,c,2019-01-01 13:02:00+00:00,"d, c"
1,d,2019-01-01 13:03:00+00:00,d
2,a,2019-01-01 13:04:00+00:00,"c, d, b, a"
2,b,2019-01-01 13:05:00+00:00,"d, b, c"
2,d,2019-01-01 13:06:00+00:00,"d, c"
2,c,2019-01-01 13:07:00+00:00,c
3,a,2019-01-01 13:08:00+00:00,"c, d, b, a"
3,c,2019-01-01 13:09:00+00:00,"d, b, c"
3,b,2019-01-01 13:10:00+00:00,"d, b"
3,d,2019-01-01 13:11:00+00:00,d
4,a,2019-01-01 13:12:00+00:00,"c, d, b, a"
4,c,2019-01-01 13:13:00+00:00,"d, b, c"
4,d,2019-01-01 13:14:00+00:00,"d, b"
4,b,2019-01-01 13:15:00+00:00,b
5,a,2019-01-01 13:16:00+00:00,"c, d, b, a"
5,d,2019-01-01 13:17:00+00:00,"d, b, c"
5,b,2019-01-01 13:18:00+00:00,"b, c"
5,c,2019-01-01 13:19:00+00:00,c
6,a,2019-01-01 13:20:00+00:00,"c, d, b, a"
6,d,2019-01-01 13:21:00+00:00,"d, b, c"
6,c,2019-01-01 13:22:00+00:00,"b, c"
6,b,2019-01-01 13:23:00+00:00,b
7,b,2019-01-01 13:24:00+00:00,"c, d, b, a"
7,a,2019-01-01 13:25:00+00:00,"c, d, a"
7,c,2019-01-01 13:26:00+00:00,"d, c"
7,d,2019-01-01 13:27:00+00:00,d
8,b,2019-01-01 13:28:00+00:00,"c, d, b, a"
8,a,2019-01-01 13:29:00+00:00,"c, d, a"
8,d,2019-01-01 13:30:00+00:00,"d, c"
8,c,2019-01-01 13:31:00+00:00,c
